thresh_value;img0.jpg_s_count;img0.jpg_v_count;img1.jpg_s_count;img1.jpg_v_count;img2.jpg_s_count;img2.jpg_v_count;img3.jpg_s_count;img3.jpg_v_count;img5.jpg_s_count;img5.jpg_v_count;img6.jpg_s_count;img6.jpg_v_count;img7.jpg_s_count;img7.jpg_v_count;img8.jpg_s_count;img8.jpg_v_count;img9.jpg_s_count;img9.jpg_v_count;img10.jpg_s_count;img10.jpg_v_count;img11.jpg_s_count;img11.jpg_v_count;img12.jpg_s_count;img12.jpg_v_count;img13.jpg_s_count;img13.jpg_v_count;img4.jpg_s_count;img4.jpg_v_count
70;4;15;18;11;57;10;1;18;52;28;23;26;23;36;23;18;96;117;84;291;29;24;21;26;161;159;37;70
71;4;15;17;11;66;10;1;18;51;28;22;26;23;27;24;13;82;122;76;282;30;24;21;26;162;156;38;72
72;4;15;17;11;68;10;1;19;49;28;21;26;23;22;23;8;71;130;65;286;30;24;21;25;166;151;37;57
73;4;15;17;11;61;10;1;19;50;28;22;27;23;16;24;8;60;131;61;287;25;24;20;25;167;136;32;60
74;4;15;17;11;66;10;1;19;43;30;22;28;23;12;23;5;49;132;49;275;25;25;19;25;169;125;34;47
75;3;16;17;11;60;11;1;19;45;30;22;29;21;8;22;4;44;133;44;266;25;25;19;25;170;126;35;43
76;3;16;17;12;66;12;1;18;42;29;22;27;21;3;22;1;35;139;40;261;23;26;19;25;173;114;34;31
77;3;16;17;12;67;11;1;18;39;29;23;25;20;3;21;1;29;140;33;251;23;27;19;25;173;112;30;32
78;3;16;17;12;65;11;2;18;38;29;22;25;20;1;20;1;23;155;27;235;22;27;18;25;185;107;31;23
79;3;16;17;13;65;11;4;18;39;29;22;29;20;1;20;1;22;154;24;224;22;26;18;25;185;102;26;22
80;3;16;17;13;61;11;3;18;39;30;21;28;19;1;20;1;19;156;22;225;22;27;18;25;183;106;25;21
81;3;16;18;14;53;12;8;18;36;30;20;27;19;1;20;1;18;167;19;216;22;27;18;25;182;95;21;16
82;3;16;18;15;58;11;15;18;33;29;18;28;16;1;19;1;17;170;18;207;20;26;18;25;179;68;22;15
83;3;17;18;16;53;11;18;18;29;29;16;26;16;1;17;1;16;176;17;187;20;27;18;25;180;62;20;12
84;3;17;18;16;56;12;18;18;27;29;16;25;16;1;17;1;15;187;16;179;20;27;18;25;178;63;19;12
85;3;17;19;16;51;12;11;18;26;29;13;23;15;1;17;1;14;197;14;173;19;27;19;25;177;60;13;3
86;3;17;19;16;50;12;18;18;23;29;13;22;14;1;17;1;14;202;12;166;19;28;19;24;175;56;13;2
87;3;17;20;16;50;13;25;18;21;29;11;22;14;1;17;1;13;216;12;156;19;28;19;24;166;55;12;2
88;2;18;20;16;50;13;24;18;21;29;11;21;14;1;17;1;12;225;12;144;19;28;20;24;160;51;11;2
89;2;18;20;16;51;13;23;18;21;29;11;23;13;1;15;1;12;231;12;134;20;28;21;24;161;49;12;1
90;2;18;20;16;43;13;10;18;20;29;11;21;13;1;15;1;12;229;9;125;20;30;19;24;156;46;11;1
91;2;18;20;16;38;14;15;18;20;29;10;22;11;1;14;1;11;238;8;120;20;30;21;24;160;45;11;1
92;2;18;20;16;44;15;19;18;20;28;10;22;11;1;13;1;11;232;8;115;21;29;21;24;157;44;10;1
93;2;18;21;16;41;16;26;18;21;27;10;24;10;1;13;1;11;234;7;110;21;28;23;24;146;40;8;1
94;2;18;21;16;45;16;28;18;21;27;10;18;10;1;12;1;11;229;7;97;21;28;21;27;144;39;7;1
95;2;18;21;16;44;17;39;18;21;27;10;19;10;1;10;1;11;227;6;93;22;28;21;29;139;38;7;1
96;2;18;20;16;40;16;44;18;20;25;9;22;10;1;10;1;11;232;5;87;23;28;21;28;129;37;7;1
97;2;18;20;16;35;17;40;18;19;25;9;21;10;1;10;1;11;235;5;44;23;28;21;28;130;34;6;1
98;2;20;20;16;29;17;31;18;19;25;9;17;10;1;10;1;11;229;5;42;23;27;22;29;143;34;6;1
99;2;19;20;16;26;20;39;18;19;25;7;19;10;1;10;1;11;223;4;40;21;27;22;31;141;31;5;1
100;2;19;20;16;19;19;32;18;18;25;7;19;9;1;9;1;11;222;4;36;21;26;22;32;143;31;5;1
101;2;19;20;16;17;20;39;18;17;25;7;17;9;1;9;1;11;235;4;37;20;26;21;34;145;30;5;1
102;1;19;20;16;10;23;45;18;17;24;7;16;6;1;9;1;11;237;4;34;20;26;21;34;136;27;5;1
103;1;19;19;16;5;25;56;18;17;24;7;22;6;1;9;1;11;241;4;34;17;26;21;31;134;26;5;1
104;1;19;17;17;5;24;52;18;17;24;7;21;6;1;9;1;11;240;4;33;17;26;20;31;132;26;5;1
105;1;20;17;17;6;22;61;18;16;24;7;20;6;1;9;1;11;241;3;35;16;26;20;32;129;24;5;1
106;0;20;17;17;2;25;48;18;16;24;7;15;6;1;7;1;11;241;3;34;16;26;20;32;122;20;5;1
107;0;20;17;17;2;27;68;18;16;24;7;11;6;1;7;1;11;247;3;35;15;27;19;36;111;16;5;1
